"","V1","V2","V3","V4","V5"
"1387","Json",500000,0.09,0.176,33500001
"1388","Json",1000000,0.175,0.387,67000001
"1389","Json",2000000,0.345,0.787,134000001
"1390","Json",3000000,0.593,1.44,201000001
"1391","Json",4000000,0.807,2.249,268000001
"1392","Json",5000000,0.957,2.593,335000001
"1393","Avro",100,0.002,0,1248
"1394","Avro",1000,0.002,0.001,10249
"1395","Avro",10000,0.003,0.002,100270
"1396","Avro",20000,0.004,0.003,200311
"1397","Avro",100000,0.017,0.011,1000564
"1398","Avro",200000,0.033,0.021,2000900
"1399","Avro",500000,0.079,0.054,5001886
"1400","Avro",1000000,0.152,0.121,10003525
"1401","Avro",2000000,0.317,0.26,20006801
"1402","Avro",3000000,0.46,0.331,30010077
"1403","Avro",4000000,0.618,0.537,40013353
"1404","Avro",5000000,0.8,0.638,50016650
"1405","Kryo",100,0,0,115
"1406","Kryo",1000,0,0,1015
"1407","Kryo",10000,0,0.001,10016
"1408","Kryo",20000,0,0,20016
"1409","Kryo",100000,0,0.002,100016
"1410","Kryo",200000,0,0.003,200016
"1411","Kryo",500000,0,0.007,500016
"1412","Kryo",1000000,0,0.015,1000016
"1413","Kryo",2000000,0,0.028,2000017
"1414","Kryo",3000000,0,0.044,3000017
"1415","Kryo",4000000,0,0.087,4000017
"1416","Kryo",5000000,0,0.08,5000017
"1417","MessagePack",100,0.002,0,1100
"1418","MessagePack",1000,0.002,0,11000
"1419","MessagePack",10000,0.003,0,110000
"1420","MessagePack",20000,0.004,0.001,220000
"1421","MessagePack",100000,0.01,0.006,1100000
"1422","MessagePack",200000,0.016,0.012,2200000
"1423","MessagePack",500000,0.048,0.031,5500000
"1424","MessagePack",1000000,0.076,0.058,11000000
"1425","MessagePack",2000000,0.183,0.124,22000000
"1426","MessagePack",3000000,0.228,0.204,33000000
"1427","MessagePack",4000000,0.311,0.24,44000000
"1428","MessagePack",5000000,0.422,0.299,55000000
"1429","Json",100,0.003,0,6701
"1430","Json",1000,0.003,0,67001
"1431","Json",10000,0.004,0.003,670001
"1432","Json",20000,0.006,0.006,1340001
"1433","Json",100000,0.019,0.032,6700001
"1434","Json",200000,0.036,0.064,13400001
"1435","Json",500000,0.087,0.16,33500001
"1436","Json",1000000,0.17,0.385,67000001
"1437","Json",2000000,0.343,0.791,134000001
"1438","Json",3000000,0.67,1.578,201000001
"1439","Json",4000000,0.871,2.23,268000001
"1440","Json",5000000,0.946,2.644,335000001
"1441","Avro",100,0.002,0,1248
"1442","Avro",1000,0.002,0,10249
"1443","Avro",10000,0.003,0.001,100270
"1444","Avro",20000,0.004,0.003,200311
"1445","Avro",100000,0.017,0.011,1000564
"1446","Avro",200000,0.032,0.022,2000900
"1447","Avro",500000,0.078,0.054,5001886
"1448","Avro",1000000,0.163,0.111,10003525
"1449","Avro",2000000,0.302,0.217,20006801
"1450","Avro",3000000,0.576,0.407,30010077
"1451","Avro",4000000,0.639,0.421,40013353
"1452","Avro",5000000,0.772,0.537,50016650
